EVENT,1ST,TIME (1st),16TH,TIME (16th),GAP
M 50 Free,Caeleb Dressel,17.63,Kristian Gkolomeev,18.64,5.73%
W 100 Fly,Gretchen Walsh,47.42,Farida Osman,50.05,5.55%
W 50 Free,Gretchen Walsh,20.37,Arianna Vanderpool-Wallace,21.34,4.76%
W 1650 Free,Katie Ledecky,15:01.4,Cierra Runge,15:40.2,4.30%
W 100 Free,Gretchen Walsh,44.83,Camille Spink,46.69,4.15%
M 400 IM,Leon Marchand,03:28.8,Kieran Smith,03:37.3,4.07%
W 100 Back,Gretchen Walsh,48.1,Rachel Bootsma,50.03,4.01%
M 200 IM,Leon Marchand,01:36.3,Ron Polonsky,01:40.0,3.76%
W 200 IM,Kate Douglass,01:48.4,Julia Smit,01:52.3,3.64%
W 100 Breast,Lilly King,55.73,Heather Maccausland,57.74,3.61%
M 100 Fly,Caeleb Dressel,42.8,Kharun/Albiero/Kusch,44.32,3.55%
W 500 Free,Katie Ledecky,04:24.1,Ella Eastin,04:32.9,3.34%
M 200 Breast,Leon Marchand,01:46.9,Jassen Yep,01:50.4,3.26%
W 200 Breast,Kate Douglass,02:01.3,Anna Belousova,02:04.8,2.89%
M 100 Free,Caeleb Dressel,39.9,Guilherme Santos,40.99,2.73%
W 200 Fly,Regan Smith,01:48.3,Olivia Carter,01:51.2,2.64%
W 200 Free,Missy Johnson,01:39.1,Dana Vollmer,01:41.5,2.45%
M 100 Back,Luca Urlando,43.35,John Shebat,44.35,2.31%
M 200 Back,Hubert Kos,01:35.7,Carr/Vyatchanin,01:37.9,2.28%
M 100 Breast,Ian Finnerty,49.69,Nichols/Miller,50.82,2.27%
W 400 IM,Ella Eastin,03:54.6,Melanie Fink,03:59.8,2.24%
M 200 Fly,Jack Conger,01:37.4,Gabriel Jett,01:39.3,1.97%
W 200 Back,Regan Smith,01:47.2,Alexia Zevnik,01:49.1,1.80%
M 200 Free,Dean Farris,01:29.2,Dylan Carter,01:30.8,1.79%
M 1650 Free,Bobby Finke,14:12.1,Erik Vendt,14:27.0,1.75%
M 500 Free,Leon Marchand,04:06.2,Zalan Sarkany,04:09.2,1.22%
